Date,Close,High,Low,Open
2025/07/17,3395.0,3415.0,3350.0,3360.0
2025/07/18,3240.0,3480.0,3230.0,3420.0
2025/07/22,3395.0,3415.0,3220.0,3280.0
2025/07/23,3440.0,3455.0,3360.0,3415.0
2025/07/24,3440.0,3500.0,3405.0,3470.0
2025/07/25,3360.0,3435.0,3340.0,3385.0
2025/07/28,3450.0,3450.0,3360.0,3395.0
2025/07/29,3455.0,3470.0,3395.0,3455.0
2025/07/30,3430.0,3485.0,3405.0,3435.0
2025/07/31,3510.0,3535.0,3435.0,3470.0
2025/08/01,3460.0,3545.0,3445.0,3500.0
2025/08/04,3400.0,3450.0,3390.0,3440.0
2025/08/05,3360.0,3440.0,3340.0,3440.0
2025/08/06,3310.0,3340.0,3235.0,3340.0
2025/08/07,3355.0,3365.0,3310.0,3320.0
2025/08/08,3375.0,3400.0,3345.0,3370.0
2025/08/12,3450.0,3490.0,3405.0,3405.0
2025/08/13,3390.0,3420.0,3360.0,3420.0
2025/08/14,3380.0,3400.0,3355.0,3390.0
2025/08/15,3345.0,3410.0,3320.0,3360.0
2025/08/18,3295.0,3360.0,3295.0,3345.0
2025/08/19,3300.0,3325.0,3270.0,3310.0
2025/08/20,3235.0,3290.0,3215.0,3290.0
2025/08/21,3135.0,3225.0,3125.0,3220.0
2025/08/22,3090.0,3150.0,3080.0,3145.0
2025/08/25,3075.0,3125.0,3050.0,3125.0
2025/08/26,3105.0,3125.0,3000.0,3045.0
2025/08/27,3120.0,3150.0,3045.0,3110.0
2025/08/28,3085.0,3120.0,3060.0,3120.0
