Date,Close,Open,Correct,Predict,Profit
2022-04-18,1194.89,1213.21,UP,UP,-18.319999999999936
2022-04-19,1215.19,1190.92,DOWN,DOWN,24.269999999999982
2022-04-20,1226.58,1229.55,DOWN,DOWN,-2.9700000000000273
2022-04-21,1212.71,1227.57,DOWN,DOWN,-14.8599999999999
2022-04-22,1184.48,1199.84,DOWN,DOWN,-15.3599999999999
2022-04-25,1167.16,1168.14,DOWN,DOWN,-0.9800000000000182
2022-04-26,1159.73,1166.66,UP,UP,-6.930000000000064
2022-04-27,1164.7,1151.27,UP,UP,13.430000000000064
2022-04-28,1165.7,1144.8,DOWN,DOWN,20.90000000000009
2022-05-02,1115.93,1163.71,DOWN,DOWN,-47.77999999999997
2022-05-06,1082.08,1112.44,DOWN,DOWN,-30.360000000000127
2022-05-09,1066.16,1070.64,DOWN,DOWN,-4.480000000000018
2022-05-10,1025.84,1041.27,UP,UP,-15.430000000000064
2022-05-11,1039.78,1024.84,DOWN,DOWN,14.940000000000055
2022-05-12,1012.9,1036.79,UP,UP,-23.889999999999986
2022-05-13,1046.74,1014.39,DOWN,DOWN,32.35000000000002
2022-05-16,1059.18,1061.18,UP,UP,-2.0
2022-05-17,1060.18,1055.2,UP,UP,4.980000000000018
2022-05-18,1060.18,1058.19,UP,UP,1.990000000000009
2022-05-19,1047.24,1031.31,UP,UP,15.930000000000064
2022-05-20,1062.17,1050.22,UP,UP,11.950000000000045
2022-05-23,1082.08,1062.67,DOWN,DOWN,19.409999999999854
2022-05-24,1057.69,1080.09,DOWN,DOWN,-22.399999999999864
2022-05-25,1027.83,1054.7,UP,UP,-26.87000000000012
2022-05-26,1045.74,1030.32,DOWN,DOWN,15.420000000000073
2022-05-27,1065.66,1070.64,UP,UP,-4.980000000000018
2022-05-30,1083.58,1077.6,DOWN,DOWN,5.980000000000018
2022-05-31,1087.56,1092.04,UP,UP,-4.480000000000018
2022-06-01,1079.6,1077.6,DOWN,DOWN,2.0
2022-06-02,1063.16,1090.54,UP,UP,-27.37999999999988
2022-06-03,1098.01,1081.08,UP,UP,16.930000000000064
2022-06-06,1112.94,1101.49,DOWN,DOWN,11.450000000000045
2022-06-07,1093.53,1129.36,DOWN,DOWN,-35.82999999999993
2022-06-08,1091.54,1095.03,UP,UP,-3.490000000000009
2022-06-09,1104.97,1103.48,DOWN,DOWN,1.490000000000009
